method,Hx,Hz,Ey
Value   ,0.0683282+0.000224739i,0.0796489+0.000937302i,-4.14394e-05+0.00449316i
spline  ,0.0683265+0.000225102i,0.0798654+0.000872669i,-3.889e-05+0.00450149i
GL      ,0.0683282+0.000224739i,0.0796489+0.000937302i,-4.14394e-05+0.00449316i
splineGL,NaN+0.000232422i,NaN+0.00143091i,NaN+0.00462793i
Glag    ,0.0683282+0.000224742i,0.0796491+0.000941134i,-4.15907e-05+0.00449316i
Adapt   ,0.0683282+0.000224739i,0.079649+0.000937302i,4.01763e-08+-3.91642e-05i
