method,Hx,Hz,Ey
Value   ,0.0683282+0.000224739i,0.0796489+0.000937302i,-4.14394e-05+0.00449316i
spline  ,2.53412e-13+2.14583e-14i,5.51197e-12+5.90005e-12i,-2.32936e-13+2.17615e-13i
GL      ,2.53412e-13+2.14583e-14i,5.51197e-12+5.90006e-12i,-2.32937e-13+2.17615e-13i
splineGL,2.53412e-13+2.14583e-14i,5.51197e-12+5.90006e-12i,-2.32937e-13+2.17615e-13i
Glag    ,0.0683282+0.000224742i,0.0796491+0.000941134i,-4.15907e-05+0.00449316i
Adapt   ,2.53412e-13+2.14583e-14i,5.51197e-12+5.90006e-12i,-2.32937e-13+2.17615e-13i
