method,Hx,Hz,Ey
Value   ,0.038159+2.51171e-05i,-0.635546+0.00118251i,-9.62626e-05+0.0502325i
spline  ,4.02273+3.17601e-05i,21.0404+0.00143085i,-9.62622e-05+0.0635186i
GL      ,4.0227+3.17601e-05i,21.0404+0.00143085i,-9.62622e-05+0.0635184i
splineGL,4.0227+3.17601e-05i,21.0404+0.0014309i,-9.62645e-05+0.0635186i
Glag    ,383.822+0.000490719i,50.639+0.00120724i,-9.838e-05+0.981436i
Adapt   ,4.0227+3.17601e-05i,21.0404+0.00143085i,-9.62611e-05+0.0635185i
Romberg ,4.0227+3.17601e-05i,21.0404+0.00143228i,-9.53646e-05+0.0635202i
