method,Hx,Hz,Ey
Value   ,0.038159+2.51171e-05i,-0.635546+0.00118251i,-9.62626e-05+0.0502325i
spline  ,0.129317+2.51245e-05i,-0.575501+0.00111855i,-9.37386e-05+0.0502484i
GL      ,0.129636+2.51237e-05i,-0.575438+0.00118251i,-9.62626e-05+0.0502456i
splineGL,0.129636+2.52495e-05i,-0.572875+0.00168961i,-0.000116984+0.0504783i
Glag    ,4.65942e+27+2.03613e+21i,-1.08346e+26+-7.19993e+19i,-2.76447e+18+4.07225e+24i
Adapt   ,0.129636+2.51237e-05i,-0.575438+0.00118251i,-9.66098e-05+0.00319723i
