method,Hx,Hz,Ey
Value   ,0.0683282+0.000224739i,0.0796489+0.000937302i,-4.14394e-05+0.00449316i
spline  ,0.0683282+0.000224739i,0.0796489+0.000937302i,-4.14394e-05+0.00449316i
GL      ,0.0683282+0.000224739i,0.0796489+0.000937302i,-4.14394e-05+0.00449316i
splineGL,0.0683287+0.000224745i,0.0796513+0.000937611i,-4.14518e-05+0.00449327i
Glag    ,0.0683282+0.000224742i,0.0796491+0.000941134i,-4.15907e-05+0.00449316i
Adapt   ,0.0683281+0.000224739i,0.0796489+0.000937302i,-4.14378e-05+0.00449327i
